,Negative Sense Word List,Positive Sense Word List
1293,dissident,golden-wedding
1294,dissidents,good
1295,dissing,good-feeling
1296,dissocial,good-form
1297,dissolute,good-friday
1298,dissolution,good-health
1299,dissonance,good-hearted
1300,dissonant,good-humoured
1301,dissonantly,good-looking
1302,dissuade,good-natured
1303,dissuasive,good-tempered
1304,distains,good-works
1305,distaste,goodish
1306,distasteful,goodly
1307,distastefully,goodness
1308,distort,goodnight
1309,distorted,goodwill
1310,distortion,goody
1311,distorts,gorge
1312,distract,gorgeous
1313,distracted,gorgeously
1314,distracting,gorgeousness
1315,distraction,gosh
1316,distraught,gourmandize
1317,distraughtly,gourmet
1318,distress,grace
1319,distressed,graced
1320,distressful,graceful
1321,distressing,gracefully
1322,distressingly,gracile
1323,distrust,gracility
1324,distrustful,gracious
1325,distrusting,graciously
1326,disturb,graciousness
1327,disturbance,gradely
1328,disturbed,graduate
1329,disturbing,grammy
1330,disturbingly,grand
1331,disunity,grandee
1332,disvalue,grandeur
1333,ditzy,grandiose
1334,divergent,grandiosity
1335,diverting,grandmaster
1336,divine,grandslam
1337,divisive,grateful
1338,divisively,gratefully
1339,divisiveness,gratefulness
1340,dizzy,gratification
1341,doddering,gratified
1342,dodgy,gratifier
1343,dogged,gratify
1344,doggedly,gratifying
1345,dogmatic,gratifyingly
1346,doldrums,gratitude
1347,dolt,gratuity
1348,domineer,gravitate
1349,domineering,great
1350,don't,great-hearted
1351,doom,greatest
1352,doomed,greatly
1353,doomful,greatness
1354,doomsday,greet
1355,doomy,greeting
1356,dope,gregarious
1357,dorky,grin
1358,dotty,grind
1359,double-faced,grit
1360,doubt,gritty
1361,doubtful,grok
1362,doubtfully,groom
1363,doubting,groovy
1364,doubts,ground-breaking
1365,douchebag,grounded
1366,douchebags,grow
1367,dour,growing
1368,dowdy,grown
1369,down,growth
1370,down-and-out,guarantee
1371,downbeat,guaranteed
1372,downcast,guard
1373,downer,guerdon
1374,downfall,guest
1375,downfallen,guffaw
1376,downgrade,guidance
1377,downhearted,guide
1378,downheartedly,guileless
1379,downhill,guilt-free
1380,downside,guiltless
1381,downsides,gumption
1382,downturn,gumptious
1383,downturns,guru
1384,downy,gush
1385,dozy,gusher
1386,drab,gushy
1387,draconian,gussy
1388,draconic,gusto
1389,drag,guts
1390,dragged,gutsy
1391,dragging,gutty
1392,dragoon,gymnastic
1393,drags,habitable
1394,drain,haecceity
1395,drained,haere
1396,draining,haha
1397,drains,hail
1398,drastic,halcyon
1399,drastically,hale
1400,drawback,half-price
1401,drawbacks,hall
1402,dread,hallelujah
1403,dreadful,hallmark
1404,dreadfully,hallmarks
1405,dreadfulness,hallow
1406,dreary,hallowed
1407,dripped,halo
1408,dripping,hand-pick
1409,drippy,hand-picked
1410,drips,handclap
1411,drones,handily
1412,droop,handle
1413,droops,handout
1414,droopy,hands-down
1415,drop-out,handsel
1416,drop-outs,handshake
1417,dropout,handsome
1418,dropouts,handsomely
1419,drought,handsomeness
1420,drowning,handy
1421,drunk,hang
1422,drunkard,hang-out
1423,drunken,hansel
1424,dubious,happening
1425,dubiously,happily
1426,dubitable,happiness
1427,dud,happy
1428,duff,happy-go-lucky
1429,dull,hard-hitting
1430,dullard,hard-wearing
1431,dullish,hard-working
1432,dumb,hardihood
1433,dumbfound,hardy
1434,dummy,hare
1435,dump,harmless
1436,dumped,harmonious
1437,dumping,harmoniously
1438,dumpish,harmonizable
1439,dumps,harmonize
1440,dun,harmony
1441,dunce,haut-monde
1442,dunderhead,haute-couture
1443,dungeon,have
1444,dungeons,haven
1445,dupe,hawk-eyed
1446,duplicitous,hayride
1447,dusky,he-man
1448,dust,head
1449,dusty,head-turning
1450,dwarf,headway
1451,dweeb,heady
1452,dwindling,heal
1453,dying,healing
1454,dysfunctional,health
1455,earsplitting,health-food
1456,eccentric,healthful
1457,eccentricity,healthy
1458,effigy,heart
1459,effrontery,heart-throb
1460,egocentric,heart-to-heart
1461,egomania,heart-warming
1462,egotism,hearten
1463,egotistical,heartening
1464,egotistically,heartfelt
1465,egregious,heartily
1466,egregiously,hearty
1467,election-rigger,heaven
1468,elimination,heaven-sent
1469,emaciated,heavenly
1470,emasculate,heavyweight
1471,embarrass,hedonism
1472,embarrassing,heed
1473,embarrassingly,heedful
1474,embarrassment,heigh
1475,embattled,heighten
1476,embroil,hello
1477,embroiled,help
1478,embroilment,helped
1479,emergency,helper
1480,emphatic,helpful
1481,emphatically,helpfully
1482,emptiness,helpfulness
1483,encroach,helping
1484,encroachment,helpmate
1485,endanger,hen-night
1486,enemies,hen-party
1487,enemy,hep
1488,enervate,hepcat
1489,enfeeble,herald
1490,enflame,heralded
1491,engulf,hermetic
1492,enjoin,hero
1493,enmity,heroes
1494,enrage,heroic
1495,enraged,heroically
1496,enraging,heroine
1497,enslave,heroism
1498,entangle,heroize
1499,entanglement,heterosis
1500,entrap,heuristic
1501,entrapment,hi-fi
1502,envious,hickey
1503,enviously,hidalgo
1504,enviousness,hiero
1505,epidemic,high
1506,equivocal,high-calibre
1507,erase,high-class
1508,erode,high-day
1509,erodes,high-demand
1510,eroding,high-minded
1511,erosion,high-powered
1512,err,high-priority
1513,errant,high-quality
1514,erratic,high-reaching
1515,erratically,high-road
1516,erroneous,high-spirited
1517,erroneously,high-spiritedness
1518,error,high-spirits
1519,errors,high-spot
1520,eruptions,high-tech
1521,escapade,high-technology
1522,eschew,high-tensile
1523,estranged,highly
1524,evade,highly-regarded
1525,evasion,highly-seasoned
1526,evasive,highly-valued
1527,evil,hilarious
1528,evildoer,hilarity
1529,evilearsplitting,hinny
1530,evils,hip
1531,eviscerate,hippocratic
1532,exacerbate,hipster
1533,exaggerate,hit
1534,exaggeration,hitch
1535,exasperate,hitched
1536,exasperated,ho-ho
1537,exasperating,hobby
1538,exasperatingly,hobnob
1539,exasperation,hoedown
1540,excessive,hold
1541,excessively,hole-in-one
1542,exclusion,holiness
1543,excoriate,holy
1544,excruciating,homage
1545,excruciatingly,home
1546,excuse,homely
1547,excuses,homey
1548,execrate,homie
1549,exhaust,hone
1550,exhausted,honest
1551,exhaustion,honest-to-goodness
1552,exhausts,honestly
1553,exhaustsexhort,honesty
1554,exhort,honey
1555,exile,honeybun
1556,exorbitant,honeyed
1557,exorbitantly,honeymoon
1558,expel,honeypot
1559,expensive,hongi
1560,expire,honora
1561,expired,honorand
1562,explode,honorary
1563,exploit,honoree
1564,exploitation,honorific
1565,explosive,honoris-causa
1566,expropriate,honour
1567,expropriation,honourable
1568,expulse,honourable-mention
1569,expunge,honoured
1570,exterminate,honouring
1571,extermination,honours-list
1572,extinguish,hooray
1573,extort,hoot
1574,extortion,hootenanny
1575,extraneous,hope
1576,extravagance,hope-chest
1577,extravagant,hopeful
1578,extravagantly,hopefully
1579,extremism,hopefulness
1580,extremist,horse-sense
1581,extremists,hortative
1582,eyesore,hosanna
1583,f**k,hospitable
1584,fabricate,hospitality
1585,fabrication,host
1586,facetious,hot
1587,facetiously,hot-blooded
1588,fail,hot-gospel
1589,failed,hot-stuff
1590,failing,hot-ticket
1591,fails,hotcake
1592,failure,hotcakes
1593,failures,hotshot
1594,faint,hottest
1595,fainthearted,hottie
1596,faithless,house-warming
1597,fake,how
1598,fall,howdy
1599,fallacies,howl
1600,fallacious,howling
1601,fallaciously,hubba-hubba
1602,fallaciousness,hug
1603,fallacy,huge
1604,fallen,huggable
1605,falling,human
1606,fallout,human-rights
1607,falls,humane
1608,false,humanistic
1609,falsehood,humanitarian
1610,falsely,humble
1611,falsify,humdinger
1612,falter,humility
1613,faltered,humorous
1614,famine,humorously
1615,famished,humour
1616,fanatic,hunky
1617,fanatical,hunky-dory
1618,fanatically,hurrah
1619,fanaticism,hushaby
1620,fanatics,hushabye
1621,fanciful,huzza
1622,far-fetched,hybrid-vigour
1623,farce,hygiene
1624,farcical,hygienic
1625,farcical-yet-provocative,hygienist
1626,farcically,hype
1627,farfetched,hyped
1628,fascism,hypersonic
1629,fascist,hypnotic
1630,fastidious,hysteria
1631,fastidiously,hysteric
1632,fat,hysterical
1633,fat-cat,icebreaker
1634,fat-cats,icon
1635,fatal,iconic
1636,fatalistic,iconize
1637,fatalistically,idea
1638,fatally,ideal
1639,fateful,ideality
1640,fatefully,idealize
1641,fathomless,ideally
1642,fatigue,ideate
1643,fatigued,idol
1644,fatty,idolize
1645,fatuity,idolized
1646,fatuous,idyll
1647,fatuously,idyllic
1648,fault,iechyd
1649,faults,igratiate
1650,faulty,illimitable
1651,fawningly,illume
1652,faze,illuminant
1653,fear,illuminate
1654,fearful,illuminating
1655,fearfully,illumination
1656,fears,illumine
1657,fearsome,illustrate
1658,feckless,illustrative
1659,feeble,illustrious
1660,feebleminded,imaginative
1661,feign,imaginings
1662,feint,imbibe
1663,fell,imbue
1664,felon,immaculate
1665,felonious,immaculately
1666,ferociously,immense
1667,ferocity,immerse
1668,fetid,immortal
1669,fever,immortelle
1670,feverish,immune
1671,fevers,immunity
1672,fiasco,immunize
1673,fib,immunotherapy
1674,fibber,impart
1675,fickle,impartial
1676,fiction,impartiality
1677,fictional,impartially
1678,fictitious,impassible
1679,fidget,impassioned
1680,fidgety,impeccable
1681,fiend,impeccably
1682,fiendish,impel
1683,fierce,important
1684,fight,impress
1685,figurehead,impressed
1686,filth,impressive
1687,filthy,impressively
1688,finagle,impressiveness
1689,finicky,improve
1690,fissures,improved
1691,fist,improvement
1692,flabbergast,improvements
1693,flabbergasted,improving
1694,flagging,improvise
1695,flagrant,in
1696,flagrantly,in-crowd
1697,flair,in-depth
1698,flairs,in-group
1699,flak,inamorato
1700,flake,incentive
1701,flakey,incept
1702,flaking,incisive
1703,flaky,include
1704,flare,inclusion
1705,flares,inclusive
1706,flat-out,income
1707,flaunt,increase
1708,flaw,incredible
1709,flawed,incredibly
1710,flaws,indebted
1711,flee,indeed
1712,fleeing,indestructible
1713,fleer,individual
1714,flees,individualism
1715,fleeting,individuality
1716,flicker,individualize
1717,flickering,indomitable
1718,flickers,indulgence
1719,flighty,indulgent
1720,flimflam,industrial-strength
1721,flimsy,industrious
1722,flirt,inestimable
1723,flirty,inexpensive
1724,floored,inexpensively
1725,flounder,infallibility
1726,floundering,infallible
1727,flout,infallibly
1728,fluster,infatuate
1729,foe,infatuated
1730,fool,infectious
1731,fooled,infinite
1732,foolhardy,infinitely
1733,foolish,infinity
1734,foolishly,influential
1735,foolishness,inform
1736,forbid,informal
1737,forbidden,informative
1738,forbidding,informatory
1739,forceful,informed
1740,foreboding,infotainment
1741,forebodingly,infrangible
1742,forfeit,infuse
1743,forged,infusion
1744,forgetful,ingenious
1745,forgetfully,ingeniously
1746,forgetfulness,ingenuity
1747,forlorn,ingenuous
1748,forlornly,ingenuously
1749,forsake,ingratiating
1750,forsaken,ingratiatingly
1751,forswear,ingratiation
1752,foul,inherit
1753,foully,initiate
1754,foulness,initiative
1755,fractious,innocent
1756,fractiously,innocuous
1757,fracture,innovate
1758,fragile,innovation
1759,fragmented,innovative
1760,frail,input
1761,frantic,inquisitive
1762,frantically,insight
1763,franticly,insightful
1764,fraud,insightfully
1765,fraudulent,inspiration
1766,fraught,inspirational
1767,frazzle,inspire
1768,frazzled,inspired
1769,freak,inspiring
1770,freaking,inspirit
1771,freakish,instructive
1772,freakishly,instrumental
1773,freaks,insulate
1774,freeze,integral
1775,freezes,integrate
1776,freezing,integrated
1777,frenetic,integrity
1778,frenetically,intellect
1779,frenzied,intellection
1780,frenzy,intellectual
1781,fret,intelligence
1782,fretful,intelligent
1783,frets,intelligentsia
1784,friction,intelligible
1785,frictions,intercede
1786,fried,interest
1787,frigging,interest-free
1788,fright,interested
1789,frighten,interesting
1790,frightening,interests
1791,frighteningly,intergrow
1792,frightful,interlude
1793,frightfully,intimacy
1794,frigid,intimate
1795,frost,intrepid
1796,frown,intricacy
1797,froze,intricate
1798,frozen,intrigue
1799,fruitless,intriguing
1800,fruitlessly,intriguingly
1801,frustrate,intuition
1802,frustrated,intuitive
1803,frustrates,invaluable
1804,frustrating,invaluably
1805,frustratingly,invent
1806,frustration,invention
1807,frustrations,inventive
1808,fuck,invest
1809,fudge,invigorate
1810,fugitive,invigorating
1811,full-blown,invincibility
1812,full-blownfulminate,invincible
1813,fulminate,inviolable
1814,fumble,inviolate
1815,fume,invitation
1816,fumes,invite
1817,fundamentalism,inviting
1818,funky,invocation
1819,funnily,invulnerable
1820,funny,irenic
1821,furious,irie
1822,furiously,ironclad
1823,furor,irradiant
1824,fury,irreplaceable
1825,fuss,irreproachable
1826,fussy,irresistible
1827,fustigate,irresistibly
1828,fusty,isotonic
1829,futile,issue-free
1830,futilely,izzat
1831,futility,jest
1832,fuzzy,joke
1833,fuzzyfail,jolly
1834,f”ck,jovial
1835,f”cking,joy
1836,gabble,joyful
1837,gaff,joyous
1838,gaffe,jubilant
1839,gainsay,jubilation
1840,gainsayer,juicy
1841,gall,just
1842,galling,kahuna
1843,gallingly,kairos
1844,galls,kaizen
1845,gangster,keen
1846,gape,keenly
1847,garbage,keenness
1848,garish,keep-fit
1849,gasp,keep-up
1850,gauche,keeper
1851,gaudy,kempt
1852,gawk,kermis
1853,gawky,kia
1854,geezer,kick
1855,genocide,kick-ass
1856,get-rich,kicking
1857,ghastly,kicky
1858,ghetto,kid-friendly
1859,ghosting,kind
1860,gibber,kind-hearted
1861,gibberish,kindliness
1862,gibe,kindly
1863,giddy,kindness
1864,gimmick,kindred
1865,gimmicked,kindred-spirit
1866,gimmicking,king-of-kings
1867,gimmicks,king-sized
1868,gimmicky,kingly
1869,glare,kingpin
1870,glaringly,kinship
1871,glib,kiss
1872,glibly,kissable
1873,glitch,kissogram
1874,glitches,klondike
1875,gloatingly,knack
1876,gloom,knee-slapper
1877,gloomy,knees-up
1878,glower,knight
1879,glum,knightly
1880,glut,knockout
1881,gnawing,knowing
1882,goad,knowledge
1883,goading,knowledgeable
1884,god-awful,kosher
1885,goof,kudos
1886,goofy,kvell
1887,goon,kwanzaa
1888,gossip,lady
1889,graceless,ladylike
1890,gracelessly,lagniappe
1891,graft,laidback
1892,grainy,lambent
1893,grapple,lap-of-honour
1894,grate,large
1895,grating,large-hearted
1896,grave,largesse
1897,gravely,lark
1898,greasy,lateral-thinking
1899,greed,laud
1900,greedy,laudable
1901,grief,laudably
1902,grievance,laudatory
1903,grievances,laugh
1904,grieve,laughing
1905,grieving,laureate
1906,grievous,lavish
1907,grievously,lavishly
1908,grim,law-abiding
1909,grimace,lawful
1910,grind,lawfully
1911,gripe,lead
1912,gripes,leader
1913,grisly,leadership
1914,gritty,leading
1915,gross,lean
1916,grossly,learn
1917,grotesque,learned
1918,grouch,learning
1919,grouchy,legend
1920,groundless,legendary
1921,grouse,legerdemain
1922,growl,legit
1923,grudge,legitimacy
1924,grudges,legitimate
1925,grudging,legitimize
1926,grudgingly,leisure
1927,gruesome,leisured
1928,gruesomely,leisurely
1929,gruff,lekker
1930,grumble,leman
1931,grumpier,lenient
1932,grumpiest,liberate
1933,grumpily,liberation
1934,grumpy,liberty
1935,guile,lie-in
1936,guilt,lief
1937,guiltily,life
1938,guilty,lifeline
1939,gullible,lifesaver
1940,gutless,lift
1941,gutter,light
1942,guttergawky,light-footed
1943,hack,light-hearted
1944,hacks,lighten
1945,haggard,likable
1946,haggle,like
1947,halfhearted,liked
1948,halfheartedly,likes
1949,hallucinate,liking
1950,hallucination,lily-white
1951,hamper,limber
1952,hampered,limpid
1953,handicapped,linchpin
1954,hang,lion
1955,hangs,lionhearted
1956,haphazard,lissom
1957,hapless,literate
1958,harangue,lithe
1959,harass,live
1960,harassed,live-wire
1961,harasses,liveable
1962,harassment,lively
1963,harboring,livelyhood
1964,harbors,liven
1965,hard,living
1966,hard-hearted,locket
1967,hard-hit,lodestone
1968,hard-liner,logic
1969,hardball,logical
1970,harden,long-lasting
1971,hardened,long-lived
1972,hardheaded,long-sighted
1973,hardhearted,long-suffering
1974,hardliner,longevity
1975,hardliners,lovable
1976,hardship,lovably
1977,hardships,love
1978,harm,love-affair
1979,harmed,love-match
1980,harmful,love-nest
1981,harms,love-seat
1982,harpy,lovebird
1983,harridan,loved
1984,harried,loved-up
1985,harrow,loveliness
1986,harsh,lovely
1987,harshly,lover
1988,hassle,lovesome
1989,hassled,lovey
1990,hassles,lovey-dovey
1991,haste,loving
1992,hastily,loving-kindness
1993,hasty,low-cost
1994,hate,low-key
1995,hated,low-price
1996,hateful,low-priced
1997,hatefully,low-risk
1998,hatefulness,lower-priced
1999,hater,loyal
2000,haters,loyalty
2001,hates,lucent
2002,hating,lucid
2003,hatred,lucidly
2004,haughtily,luck
2005,haughty,luckiest
2006,haunt,luckiness
2007,haunting,lucky
2008,havoc,lucrative
2009,hawkish,luculent
2010,haywire,lucullan
2011,hazard,ludic
2012,hazardous,lull
2013,haze,lullaby
2014,hazy,lulu
2015,head-aches,luminary
2016,headache,luminous
2017,headaches,luscious
2018,heartbreaker,lush
2019,heartbreaking,luster
2020,heartbreakingly,lustrate
2021,heartless,lustre
2022,heathen,lustrous
2023,heavy-handed,lusty
2024,heavyhearted,luvvy
2025,heck,luxe
2026,heckle,luxuriant
2027,heckled,luxuriate
2028,heckles,luxurious
2029,hectic,luxuriously
2030,hedge,luxury
2031,hedonistic,lynx-eyed
2032,heedless,made
2033,hefty,magic
2034,hegemony,magical
2035,heinous,magnanimous
2036,hell,magnetic
2037,hell-bent,magnetism
2038,hellion,magnificent
2039,hells,magnify
2040,helpless,magnitude
2041,helplessly,mai
2042,helplessness,main
2043,heresy,mainstay
2044,heretic,maintain
2045,heretical,majestic
2046,hesitant,majesty
2047,hideous,major
2048,hideously,majority
2049,hideousness,make
2050,high-priced,mammoth
2051,hinder,manage
2052,hindrance,manifest
2053,hiss,manner
2054,hissed,many
2055,hissing,marketable
2056,ho-hum,marriage
2057,hoard,marvel
2058,hoax,marvellous
2059,hobble,marvelous
2060,hogs,massive
2061,hollow,master
2062,homely,masterfully
2063,hoodwink,masterpiece
2064,hooligan,mate
2065,hopeless,matter
2066,hopelessly,mature
2067,hopelessness,maturity
2068,horde,maximum
2069,horrendous,meaning
2070,horrendously,meaningful
2071,horrible,mediate
2072,horrid,meditate
2073,horrific,meditation
2074,horrified,mellifluous
2075,horrifies,mellow
2076,horrify,melodic
2077,horrifying,melodious
2078,hostage,memorable
2079,hostile,mental
2080,hostilities,mentally-sharp
2081,hostility,mentor
2082,hotbeds,merciful
2083,hothead,mercy
2084,hotheaded,merit
2085,hothouse,meritorious
2086,hubris,merry
2087,huckster,mesmerize
2088,hum,mesmerizing
2089,humid,method
2090,humiliate,mettle
2091,humiliating,million
2092,humiliation,mind
2093,humming,mind-blowing
2094,hung,mindful
2095,hurt,mindfulness
2096,hurtful,mingle
2097,hurting,miracle
2098,hurts,miraculous
2099,hustler,mirth
2100,hype,miss
2101,hypocrisy,mission
2102,hypocrite,mobility
2103,hypocrites,model
2104,hypocritical,moderate
2105,hypocritically,modern
2106,hysteria,momentous
2107,hysteric,monumental
2108,hysterical,moral
2109,hysterically,morale
2110,hysterics,more
2111,icky,most
2112,idiocies,motherhood
2113,idiocy,motivate
2114,idiot,motivation
2115,idiotic,move
2116,idiotically,moving
2117,idiots,movingly
2118,idle,much
2119,ignoble,multitude
2120,ignominious,munificent
2121,ignominiously,musical-pleasan
2122,ignominy,must
2123,ignorance,mutually
2124,ignorant,nailed
2125,ignore,nailed-on
2126,ill,namaste
2127,ill-advised,nascent
2128,ill-conceived,natal
2129,ill-defined,nationhood
2130,ill-designed,nationwide
2131,ill-fated,native
2132,ill-favored,natty
2133,ill-formed,natural
2134,ill-mannered,naturally
2135,ill-natured,nature
2136,ill-sorted,nature-made
2137,ill-tempered,natured
2138,ill-treated,navigable
2139,ill-treatment,navigate
2140,ill-usage,near
2141,ill-used,nearby
2142,illegal,neat
2143,illegally,neat-as-pin
2144,illegitimate,neat-handed
2145,illicit,neaten
2146,illiterate,neatly
2147,illness,necessarily
2148,illogical,necessary
2149,illogically,necessity
2150,illusion,nectar
2151,illusions,need
2152,illusory,needed
2153,imaginary,negative
2154,imbalance,neighborhood
2155,imbecile,neighborly
2156,imbroglio,neo
2157,immaterial,neonate
2158,immature,neoteric
2159,imminence,nestle
2160,imminently,neutral
2161,immobilized,never-dying
2162,immoderate,never-ending
2163,immoderately,never-failing
2164,immodest,new
2165,immoral,newborn
2166,immorality,newfangled
2167,immorally,newfound
2168,immovable,newly
2169,impair,newlywed
2170,impaired,next
2171,impasse,nibble
2172,impatience,nice
2173,impatient,nice-looking
2174,impatiently,nice-one
2175,impeach,nice-to-meet-you
2176,impedance,nicely
2177,impede,nicety
2178,impediment,nifty
2179,impending,nimble
2180,impenitent,nimble-fingered
2181,imperfect,nimbleness
2182,imperfection,nimbly
2183,imperfections,nimbus
2184,imperfectly,nippy
2185,imperialist,nirvana
2186,imperil,nitty-gritty
2187,imperious,no-doubt
2188,imperiously,nob
2189,impermissible,nobility
2190,impersonal,noble
2191,impertinent,nobleman
2192,impetuous,nod
2193,impetuously,noiseless
2194,impiety,nom
2195,impinge,nominate
2196,impious,nominee
2197,implacable,non
2198,implausible,non-belligerent
2199,implausibly,non-resistant
2200,implicate,non-violence
2201,implication,nonchalant
2202,implode,noncommittal
2203,impolite,nonnegative
2204,impolitely,nonpareil
2205,impolitic,nonstop
2206,importunate,nook
2207,importune,normal
2208,impose,normally
2209,imposers,norturing
2210,imposing,nostalgia
2211,imposition,notable
2212,impossible,note
2213,impossibleimpossibly,noted
2214,impossibly,noteworthy
2215,impotent,notice
2216,impoverish,noticeable
2217,impoverished,noticeably
2218,impractical,nourish
2219,imprecate,nourishing
2220,imprecise,nourishment
2221,imprecisely,nouveau
2222,imprecision,novel
2223,imprison,novelty
2224,imprisonment,now
2225,improbability,nubile
2226,improbable,number
2227,improbably,number-one
2228,improper,numerous
2229,improperly,numinous
2230,impropriety,nurse
2231,imprudence,nurture
2232,imprudent,nutrient
2233,impudence,nutriment
2234,impudent,nutrition
2235,impudently,nutritious
2236,impugn,nuzzle
2237,impulsive,nymph
2238,impulsively,nymphet
2239,impunity,oasis
2240,impure,oath
2241,impurity,obedient
2242,in,objective
2243,inability,objectively
2244,inaccuracies,obliged
2245,inaccuracy,obliging
2246,inaccurate,obligingly
2247,inaccurately,observant
2248,inaction,obtain
2249,inactive,obtainable
2250,inadequacy,occur
2251,inadequate,odds-on
2252,inadequately,oecumenical
2253,inadvisable,of
2254,inane,of-substance
2255,inanely,offer
2256,inappropriate,offering
2257,inappropriately,officia
2258,inapt,ok
2259,inarticulate,okay
2260,inattentive,okayed
2261,inaudible,okey-dokey
2262,incapable,olympiad
2263,incapably,omnipotent
2264,incautious,omniscience
2265,incendiary,omniscient
2266,incense,on
2267,incessant,on-hand
2268,incessantly,on-target
2269,incite,on-time
2270,incitement,oncoming
2271,incivility,one-hundred
2272,inclement,one-of-a-kind
2273,incoherence,one-up
2274,incoherent,oneness
2275,incoherently,ongoing
2276,incommensurate,onward
2277,incomparable,oodles
2278,incomparably,oohlala
2279,incompatibility,oomph
2280,incompatible,ooze
2281,incompetence,oozing
2282,incompetent,opalescent
2283,incompetently,open
2284,incomplete,open-hearted
2285,incomprehensible,open-heartedly
2286,incomprehension,open-minded
2287,inconceivable,open-mindedly
2288,inconceivably,open-up
2289,incongruous,opening
2290,incongruously,openly
2291,inconsequential,openness
2292,inconsequentially,operable
2293,inconsiderate,operatic
2294,inconsiderately,operational
2295,inconsistencies,operative
2296,inconsistency,opportune
2297,inconsistent,opportunities
2298,inconsolable,opportunity
2299,inconsolably,optimal
2300,inconstant,optimistic
2301,inconvenience,optimum
2302,inconveniently,opulence
2303,incorrect,opulent
2304,incorrectly,ora
2305,incorrigible,orchestrated
2306,incorrigibly,orderly
2307,incredulous,organic
2308,incredulously,organizational
2309,inculcate,organized
2310,indecency,original
2311,indecent,originality
2312,indecently,originate
2313,indecision,origination
2314,indecisive,originative
2315,indecisively,ornamental
2316,indefensible,ornate
2317,indelicate,orotund
2318,indeterminable,osculate
2319,indeterminably,out-of-sight
2320,indeterminate,out-of-the
2321,indifference,out-of-this-world
2322,indifferent,outback
2323,indigent,outdo
2324,indignant,outdone
2325,indignantly,outgoing
2326,indignation,outlast
2327,indignity,outplay
2328,indiscernible,outrageous
2329,indiscreet,outshine
2330,indiscreetly,outshone
2331,indiscretion,outsize
2332,indiscriminate,outsmart
2333,indiscriminately,outspoken
2334,indistinguishable,outstanding
2335,indoctrinate,outstretch
2336,indoctrination,ovation
2337,indolent,over
2338,indulge,over-joyful
2339,ineffective,overachieve
2340,ineffectively,overachiever
2341,ineffectiveness,overactive
2342,ineffectual,overage
2343,ineffectually,overbold
2344,inefficacy,overexcited
2345,inefficiency,overflow
2346,inefficient,overflowing
2347,inefficiently,overfond
2348,inelegance,overjoy
2349,inelegant,overjoyed
2350,ineligible,overjoying
2351,ineligibleinept,overmodest
2352,inept,overpower
2353,ineptitude,overriding
2354,ineptly,oversize
2355,inequalities,overt
2356,inequality,overtake
2357,inequitable,overtaking
2358,inequitably,overwhelming
2359,inequities,owner
2360,inescapable,pace
2361,inescapably,pacify
2362,inessential,pain-free
2363,inevitable,painless
2364,inevitably,painlessly
2365,inexcusable,painstaking
2366,inexcusably,pair
2367,inexorable,pal
2368,inexorably,palatable
2369,inexperience,palatial
2370,inexperienced,pally
2371,inexpert,palpable
2372,inexpertly,pamper
2373,inexpiable,par-excellence
2374,inextricable,paradisal
2375,inextricably,paradise
2376,infamous,paragon
2377,infamously,paramount
2378,infamy,pardon
2379,infected,parenting
2380,infection,particular
2381,infections,partisan
2382,inferior,partner
2383,inferiority,partnership
2384,infernal,party
2385,infest,passion
2386,infested,passionate
2387,infidel,passionately
2388,infidels,passive
2389,infiltrator,paternal
2390,infiltrators,pathfinder
2391,infirm,patience
2392,inflame,patient
2393,inflammation,patiently
2394,inflammatory,patriot
2395,inflated,patriotic
2396,inflationary,patriotism
2397,inflexible,patronize
2398,inflict,peace
2399,infraction,peaceable
2400,infringe,peaceably
2401,infringement,peaceful
2402,infringements,peacefulness
2403,infuriate,peacekeeper
2404,infuriated,peacemaker
2405,infuriating,peach
2406,infuriatingly,peachy
2407,inglorious,peachy-keen
2408,ingrate,peak
2409,ingratitude,pearl
2410,inhibit,peerless
2411,inhibition,pep
2412,inhospitable,peppy
2413,inhospitableinhuman,percent
2414,inhuman,perception
2415,inhumane,perceptive
2416,inhumanity,perfect
2417,inimical,perfection
2418,inimically,perfectionist
2419,iniquitous,perfectly
2420,iniquity,perk
2421,injudicious,perky
2422,injure,permanent
2423,injureinjurious,permissible
2424,injurious,perseverance
2425,injury,persevere
2426,injustice,persist
2427,injustices,persistence
2428,innuendo,persistent
2429,inoperable,persistently
2430,inopportune,personable
2431,inordinate,personality
2432,inordinately,perspective
2433,insane,persuasive
2434,insanely,persuasively
2435,insanity,pert
2436,insatiable,pertinent
2437,insecure,pervade
2438,insecurity,petichor
2439,insensible,petite
2440,insensitive,phenomena
2441,insensitively,phenomenal
2442,insensitivity,phenomenally
2443,insidious,phenomenon
2444,insidiously,phew
2445,insignificance,philanthropic
2446,insignificant,philanthropist
2447,insignificantly,philanthropy
2448,insincere,philosopher
2449,insincerely,philosophical
2450,insincerity,pick
2451,insinuate,pick-me-up
2452,insinuating,picturesque
2453,insinuation,piety
2454,insipid,pilot
2455,insolence,pinnacle
2456,insolent,pioneer
2457,insolently,pioneering
2458,insolvent,pious
2459,insouciance,piquancy
2460,instability,piquant
2461,instigate,pivotal
2462,instigator,pizzazz
2463,instigators,placid
2464,insubordinate,plausible
2465,insubstantial,play
2466,insubstantially,playful
2467,insufferable,playfulness
2468,insufferably,playmate
2469,insufficiency,plea
2470,insufficient,pleasant
2471,insufficiently,pleasantly
2472,insular,please
2473,insult,pleased
